Series Name,SeriesCode,CountryName,CountryCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Individuals using the Internet (% of population),IT.NET.USER.ZS,Australia,AUS, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , 0.59 , 1.10 , 1.77 , 1.97 , 2.23 , 2.76 , 3.28 , 16.37 , 30.81 , 40.78 , 46.76 , 52.69 , .. , .. , .. , 63.00 , 66.00 , 69.45 , 71.67 , 74.25 , 76.00 , 79.49 , 79.00 , 83.45 , 84.00 , 84.56 , 86.54 , 86.55 , 90.00 , 93.61 , 96.39 , 96.24 , .. , .. 
Individuals using the Internet (% of population),IT.NET.USER.ZS,Austria,AUT, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , 0.13 , 0.26 , 0.64 , 0.77 , 1.39 , 1.89 , 6.91 , 9.53 , 15.42 , 23.04 , 33.73 , 39.19 , 36.56 , 42.70 , 54.28 , 58.00 , 63.60 , 69.37 , 72.87 , 73.45 , 75.17 , 78.74 , 80.03 , 80.62 , 81.00 , 83.94 , 84.32 , 87.94 , 87.48 , 87.75 , 87.53 , 92.53 , 93.61 , .. 
Individuals using the Internet (% of population),IT.NET.USER.ZS,Azerbaijan,AZE, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , -   , -   , -   , -   , 0.00 , 0.00 , 0.01 , 0.03 , 0.04 , 0.10 , 0.15 , 0.31 , 5.00 , .. , .. , 8.03 , 11.99 , 14.54 , 17.08 , 27.40 , 46.00 , 50.00 , 54.20 , 73.00 , 75.00 , 77.00 , 78.20 , 79.00 , 79.80 , 81.10 , 84.60 , 86.00 , .. , .. 
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Bahamas, The",BHS, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , -   , -   , -   , -   , -   , 0.96 , 1.75 , 1.36 , 2.34 , 3.76 , 8.00 , 11.80 , 18.00 , 20.00 , 22.00 , 25.00 , 26.00 , 27.00 , 31.54 , 33.88 , 43.00 , 65.00 , 71.75 , 72.00 , 76.92 , 78.00 , 80.00 , 80.60 , 83.00 , 90.69 , 92.48 , 94.29 , .. , .. 
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bahrain,BHR, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , -   , -   , -   , -   , -   , 0.35 , 0.84 , 1.65 , 3.22 , 4.72 , 6.15 , 15.04 , 18.05 , 21.55 , 21.46 , 21.30 , 28.24 , 32.91 , 51.95 , 53.00 , 55.00 , 77.00 , 88.00 , 90.00 , 90.50 , 93.48 , 98.00 , 95.88 , 98.64 , 99.70 , 99.67 , 100.00 , .. , .. 
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bangladesh,BGD, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , -   , -   , -   , -   , -   , -   , .. , 0.00 , 0.00 , 0.04 , 0.07 , 0.13 , 0.14 , 0.16 , 0.20 , 0.24 , 1.00 , 1.80 , 2.50 , 3.10 , 3.70 , 4.50 , 5.00 , 6.63 , 11.90 , 12.90 , 18.10 , 19.80 , 23.44 , 27.76 , 32.87 , 38.92 , .. , .. 
Individuals using the Internet (% of population),IT.NET.USER.ZS,Barbados,BRB, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , -   , -   , -   , -   , -   , 0.01 , 0.39 , 0.78 , 1.97 , 2.38 , 3.97 , 11.94 , 27.84 , 39.69 , 49.80 , 52.50 , 55.30 , 58.20 , 61.40 , 64.70 , 65.10 , 66.50 , 71.20 , 71.80 , 75.16 , 76.11 , 79.55 , 81.76 , 82.48 , 83.21 , 82.46 , 85.82 , .. , .. 
Individuals using the Internet (% of population),IT.NET.USER.ZS,Belarus,BLR, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , -   , -   , -   , -   , 0.00 , 0.00 , 0.03 , 0.05 , 0.07 , 0.49 , 1.86 , 4.30 , 8.95 , .. , .. , .. , 16.20 , 19.70 , 23.00 , 27.43 , 31.80 , 39.65 , 46.91 , 54.17 , 59.02 , 62.23 , 71.11 , 74.44 , 79.13 , 82.79 , 85.09 , 86.89 , 89.51 , .. 
Individuals using the Internet (% of population),IT.NET.USER.ZS,Belgium,BEL, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , 0.00 , 0.02 , 0.10 , 0.20 , 0.70 , 0.99 , 2.97 , 4.94 , 7.89 , 13.77 , 29.43 , 31.29 , 46.33 , 49.97 , 53.86 , 55.82 , 61.98 , 66.76 , 68.86 , 74.54 , 77.64 , 81.61 , 80.72 , 82.17 , 85.00 , 85.05 , 86.52 , 87.68 , 88.65 , 90.28 , 91.53 , 92.79 , 94.01 , .. 
Individuals using the Internet (% of population),IT.NET.USER.ZS,Belize,BLZ, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , -   , -   , -   , -   , -   , 0.05 , 0.88 , 1.29 , 2.09 , 4.08 , 5.96 , .. , 5.68 , .. , 9.80 , 17.00 , 24.00 , 24.60 , 26.30 , 27.20 , 28.20 , 30.70 , 31.00 , 33.60 , 38.70 , 41.59 , 44.58 , 47.08 , 49.80 , 57.12 , 59.51 , 61.99 , .. , .. 
